Vintage,Score,Drink Window,Description,Country,Region,Variety,Vola_Temp,Vola_Rain,Longest_Dry,Longest_Wet,Avg_Rain,Count_above35,Count_under10,Count_under0,Coulure_Wind,June_Rain
2000,85,Past peak,"Mixed and a bit green overall, but some stellar wines that may be overlooked and undervalued  (See all ratings)",United States,Napa,Cabernet,0.2072349937292479,,0.0,149.0,,4.0,61.0,0.0,17.65675675675676,0.0
1999,97,Drink,"Tremendous depth, concentration and structure from a cool, moderate year; ageworthy  (See all ratings)",United States,Napa,Cabernet,0.242821507173754,,0.0,117.0,,14.0,23.0,0.0,22.25135135135136,0.0
1999,97,Drink,"Tremendous depth, concentration and structure from a cool, moderate year; ageworthy  (See all ratings)",United States,Napa,Cabernet,0.242821507173754,,0.0,117.0,,14.0,23.0,0.0,22.251351351351357,0.0
1998,84,Past peak,"Cool, damp year with mostly green, herbal wines marked by gritty tannins; few memorable bottles  (See all ratings)",United States,Napa,Cabernet,0.2986370236519164,,0.0,106.0,,18.0,35.0,0.0,25.048148148148154,0.0
1997,99,Drink,"Huge crop of ripe, opulent, fleshy, concentrated wines, from near-perfect weather; super in Sonoma, too  (See all ratings)",United States,Napa,Cabernet,0.1660383885429746,,0.0,137.0,,7.0,19.0,0.0,23.939130434782605,0.0
1996,96,Drink,"A sleeper, with a remarkable number of compelling wines; warm year with fine concentration and depth  (See all ratings)",United States,Napa,Cabernet,0.2415209098644112,,0.0,188.0,,25.0,51.0,0.0,23.66,0.0
1995,97,Drink,"Surprisingly fine year, with wines marked by great flavors, balance and structure  (See all ratings)",United States,Napa,Cabernet,0.2514420033811141,,0.0,188.0,,21.0,40.0,0.0,25.216666666666665,0.0
1994,97,Drink,"A showy year all around; ripe, complex and fleshy, with excellent depth  (See all ratings)",United States,Napa,Cabernet,0.1827694395751779,,0.0,191.0,,11.0,39.0,0.0,28.251612903225805,0.0
1993,88,Drink,"Just off the pace, with well-balanced, supple wines; a few stars  (See all ratings)",United States,Napa,Cabernet,0.2215472346814367,,0.0,146.0,,14.0,28.0,0.0,22.693103448275863,0.0
1992,93,Drink,"Fine growing season led to uniformly rich, fleshy, supple and balanced wines  (See all ratings)",United States,Napa,Cabernet,0.1899891694327091,,0.0,193.0,,13.0,24.0,0.0,27.82258064516129,0.0
1991,91,Drink,"Big crop, ripe and complex; a star early on, only to be eclipsed by others this decade  (See all ratings)",United States,Napa,Cabernet,0.2749971332799489,,0.0,193.0,,9.0,72.0,0.0,27.074193548387097,0.0
