Vintage,Score,Drink Window,Description,Country,Region,Variety
2017,97,Hold,"The north enjoyed a long, warm and dry season with cool nights and well-timed rains near the end to help finish ripening; no serious weather issues as in the south. Reds are ripe and seductive; whites are juicy and well-detailed  Stéphane Ogier Côte-Rôtie Lancement  Top-scoring wines (click for full tasting note):


M. Chapoutier Ermitage White L'Ermite


Stéphane Ogier Côte-Rôtie La Côte-Blonde


Stéphane Ogier Côte-Rôtie Lancement",France,Rhône,Rhône/Northern
2016,97,Hold,"An admirable follow-up to 2015. A wet spring led to a late-running season; Hermitage was hit by hail in April, reducing the crop, yet hot weather from July through September spurred ripening and an Indian summer persisted through October. Reds are ripe, focused and pure; whites are scintillating, with freshness and purity  Jean-Louis Chave Hermitage White  Top-scoring wines (click for full tasting note):


A. Clape Cornas


Georges Vernay Condrieu Coteau de Vernon


Jean-Louis Chave Hermitage White",France,Rhône,Rhône/Northern
2015,99,Hold,"The north’s new benchmark; a vintage marked by heat and drought, but without the downside as nights were cool, maintaining acidity, and rains well-timed for ideal ripening. Reds are rich in both fruit and , with ample but integrated structure; whites are vibrant and pure  A. Clape Cornas  Top-scoring wines (click for full tasting note):


E. Guigal Côte-Rôtie La Landonne


E. Guigal Côte-Rôtie La Turque


A. Clape Cornas",France,Rhône,Rhône/Northern
2014,89,Drink or hold,"An inconsistent year, with rain in June and July leading to disease pressure. Fine weather in August and September yielded excellent results for some growers, while others had more difficulty; reds more heterogenous than whites  E. Guigal Côte-Rôtie La Turque  Top-scoring wines (click for full tasting note):


Jean-Louis Chave Hermitage White


E. Guigal Côte-Rôtie La Landonne


E. Guigal Côte-Rôtie La Turque",France,Rhône,Rhône/Northern
2013,91,Drink or hold,"Dry, cool growing season; vintners who picked quickly, ahead of late-season rains, were very successful. Reds are pure, ripe and focused; whites are gorgeously aromatic and lively  M. Chapoutier Ermitage White L'Ermite  Top-scoring wines (click for full tasting note):


E. Guigal Côte-Rôtie La Landonne


E. Guigal Côte-Rôtie La Turque


M. Chapoutier Ermitage White L'Ermite",France,Rhône,Rhône/Northern
2012,92,Drink or hold,"Similar in profile to the south, with reds marked by solid, ripe fruit and refined, lengthy finishes; the best should age well. Whites also excellent, though not as vivacious as '11. A very consistent year  (See all ratings)",France,Rhône,Rhône/Northern
2011,92,Drink or hold,"Early, warm start to the growing season, but cool, wet second half. Syrah performed well through harvest, which extended late; more consistent than the south, with many excellent wines  (See all ratings)",France,Rhône,Rhône/Northern
2010,98,Hold,"Cool, wet spring resulted in historically low yields, but excellent growing season backed by well-timed September rain and late Indian summer led to a late harvest of terrific quality. Reds are racy and loaded with minerality; even better defined than '09. Whites are bright, with gorgeous definition; better than '06  (See all ratings)",France,Rhône,Rhône/Northern
2009,96,Drink or hold,"Warm, dry season led to early harvest, but mid-August rain and cool nights kept grapes fresh. Reds are rich and polished, whites ripe and rounded; excellent overall and very consistent, with normal yields  (See all ratings)",France,Rhône,Rhône/Northern
2008,86,Drink,"Cool, gray season made ripening reds difficult. Some successes, but many lean, herb-inflected wines; whites are excellent, with ripe tropical fruit flavors and tangy acidity. A tough year, but better than '02  (See all ratings)",France,Rhône,Rhône/Northern
2007,91,Drink or hold,"Erratic growing season followed by perfect September that saved the harvest. Reds and whites are fresh, aromatic and forward in style; similar to '01, more consistent than '04. Strongest in Côte-Rôtie and Cornas  (See all ratings)",France,Rhône,Rhône/Northern
2006,92,Drink or hold,"Ripe, fresh reds with open-knit structure, fine balance; whites are classics, combining best of '04 and '05  (See all ratings)",France,Rhône,Rhône/Northern
2005,94,Drink or hold,"Another drought-influenced vintage, though cool nights helped to maintain freshness. Reds have classic structure for long-term cellaring; whites also dense and concentrated  (See all ratings)",France,Rhône,Rhône/Northern
2004,90,Drink,"Controlling yields was key for reds, with some variable results; best are fresh and balanced, others are crisp and green. Whites, particularly Condrieu, are superb  (See all ratings)",France,Rhône,Rhône/Northern
2003,94,Drink or hold,"Torrid heat wave produced a small crop with wide-ranging quality, from exotically ripe to acid-deficient. Whites show lots of tropical fruit, oily textures  (See all ratings)",France,Rhône,Rhône/Northern
2002,82,Past peak,Rain made it hard to pick ripe and clean reds; many show herb and tobacco notes with tough tannins. Whites harvested in time though; some are outstanding  (See all ratings),France,Rhône,Rhône/Northern
2001,89,Drink,"Great racy, rich whites in Condrieu and Hermitage; elegant reds  (See all ratings)",France,Rhône,Rhône/Northern
2000,88,Drink,"Clean and pure with good structure, but without the depth of top years  (See all ratings)",France,Rhône,Rhône/Northern
1999,96,Drink,"Voluptuous, silky vintage with stunning quality for Côte-Rôtie  (See all ratings)",France,Rhône,Rhône/Northern
1998,90,Drink,"Very structured reds with good fruit, balance and concentration; now approaching their peak  (See all ratings)",France,Rhône,Rhône/Northern
1997,88,Drink,Reds framed by burly tannins; starting to soften. Best in Côte-Rôtie and Hermitage  (See all ratings),France,Rhône,Rhône/Northern
1996,90,Drink,Big crop with high acidity; best are refined and elegant  (See all ratings),France,Rhône,Rhône/Northern
1995,91,Drink,Unheralded year but red wines offer concentration and length; whites are also very good to outstanding  (See all ratings),France,Rhône,Rhône/Northern
2021,88,Drink or hold,"Not as disastrous as the north, yet growers in the south suffered from frosts that reduced yields. Grenache was particularly fragile, and mildew pressure further reduced volumes. Quality is mixed, with many wines lacking concentration and others finding success in a fresher, lower-alcohol style; whites are energetic, vibrant and balanced  Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina  Top-scoring wines (click for full tasting note):


Château de St.-Cosme Gigondas Hominis Fides


Clos des Papes Châteauneuf-du-Pape


Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina",France,Rhône,Rhône/Southern
2020,93,Drink or hold,"A mild winter followed by a hot, dry summer with slightly cooler nights led to wines with good freshness and balance. Ideal harvest conditions resulted in a stress-free vintage with solid yields. With generous, supple fruit profiles and accessible tannins, the wines stand out for their immediate drinkability, though quality is more heterogeneous  Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape Hommage Jacques Perrin


Clos des Papes Châteauneuf-du-Pape


Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina",France,Rhône,Rhône/Southern
2019,94,Drink or hold,"A wet winter set the table for the region’s vineyards to get through the hot, dry growing season, with Grenache and Mourvèdre excelling as harvest lingered into early October. Reds are rich, ripe and expressive, with refined textures. A gorgeous vintage that just lacks the spine to be among the truly elite years  Château de St.-Cosme Gigondas Le Claux  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape Hommage Jacques Perrin


Château de St.-Cosme Gigondas Le Poste


Château de St.-Cosme Gigondas Le Claux",France,Rhône,Rhône/Southern
2018,92,Drink or hold,"Growing season marred by spring rains that led to severe mildew pressure, which severely hampered Grenache yields. Summer was hot and dry, with nights not as cool as usual, but there were no heat spikes. Reds are supple and velvety, low in acid, offering flattering, forward fruit  Clos des Papes Châteauneuf-du-Pape  Top-scoring wines (click for full tasting note):


Domaine St.-Préfert Châteauneuf-du-Pape Collection Charles Giraud


Château de St.-Cosme Gigondas Le Poste


Clos des Papes Châteauneuf-du-Pape",France,Rhône,Rhône/Southern
2017,92,Drink or hold,"A difficult flowering resulted in drastically reduced yields on Grenache. Crop ripened quickly in hot, dry conditions, leading to inconsistent quality. Best spots were cooler and later-ripening, with Syrah and Mourvèdre playing key roles  Rotem & Mounir Saouma Châteauneuf-du-Pape White Magis  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape Hommage à Jacques Perrin


Domaine St.-Préfert Châteauneuf-du-Pape White Cuvée Spéciale Vieilles Clairettes


Rotem & Mounir Saouma Châteauneuf-du-Pape White Magis",France,Rhône,Rhône/Southern
2016,99,Hold,"This truly rare vintage is a new benchmark. The growing season was warm during the day but cool at night, with an unusually large diurnal swing that led to slow, even ripening across all varieties while maintaining acidity. Reds are laden with fruit, yet extremely racy and fresh in feel; whites are pure, brimming with energy  Domaine Giraud Châteauneuf-du-Pape Grenaches de Pierre  Top-scoring wines (click for full tasting note):


Domaine St.-Préfert Châteauneuf-du-Pape Collection Charles Giraud


Château de St.-Cosme Gigondas Le Poste


Domaine Giraud Châteauneuf-du-Pape Grenaches de Pierre",France,Rhône,Rhône/Southern
2015,97,Hold,"Ideal spring conditions were followed by warm, dry weather through July and then heavy rains in August. Earlier-ripening Viognier and Syrah struggled a bit, while later-ripening Grenache and Mourvèdre excelled; reds are rich, ripe and full of powerful fruit. In the style of 2009 and 2007, with better definition  Château de St.-Cosme Gigondas Le Poste  Top-scoring wines (click for full tasting note):


Domaine St.-Préfert Châteauneuf-du-Pape Collection Charles Giraud


Château de Beaucastel Châteauneuf-du-Pape Hommage à Jacques Perrin


Château de St.-Cosme Gigondas Le Poste",France,Rhône,Rhône/Southern
2014,88,Drink,"Season similar to the north's, with a good start but then persistent rains followed by more humid weather through September. Earlier-ripening areas favored as disease pressures built steadily; sorting tables critical to cull berries, with yields markedly lower as a result. Trickiest vintage since 2008  Domaine de Beaurenard Châteauneuf-du-Pape White Boisrenard  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape White Vieilles Vignes


Clos des Papes Châteauneuf-du-Pape White


Domaine de Beaurenard Châteauneuf-du-Pape White Boisrenard",France,Rhône,Rhône/Southern
2013,89,Drink,"Cool but dry growing season, with Grenache yields drastically reduced once again and Grenache-reliant wines lacking some depth and ripeness; wines buttressed with Syrah and Mourvèdre are fresh, pure and floral-edged  Château de St.-Cosme Gigondas Le Poste  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape White Vieilles Vignes


Château de St.-Cosme Gigondas Hominis Fides


Château de St.-Cosme Gigondas Le Poste",France,Rhône,Rhône/Southern
2012,93,Drink or hold,"Small crop following severe coulure on Grenache, but the wines are fine-grained and lengthy, with deliciously ripe flavors; well-balanced and should cellar well  (See all ratings)",France,Rhône,Rhône/Southern
2011,91,Drink or hold,"Warm spring, but cool, wet weather in July and August led to uneven ripening; Indian summer saved the vintage. Grenache is light, but Syrah and Mourvèdre strong, so blending key; there will be some excellent wines, but heterogenous from domaine to domaine  (See all ratings)",France,Rhône,Rhône/Southern
2010,98,Hold,"Cool, windy spring led to a drastically reduced crop; growing season marked by warm days and cool nights, with a late harvest resulting in beautifully ripe, racy, [i]terroir[n]-driven wines for aging. The spine of ’05 with extra flesh  (See all ratings)",France,Rhône,Rhône/Southern
2009,94,Drink,"Warm, dry growing season, with heat wave arriving after veraison so ripening was fast but even; grapes retained acidity thanks to cool nights. Reds have pure fruit and polished tannins  (See all ratings)",France,Rhône,Rhône/Southern
2008,88,Drink,"Cool, wet spring and humid growing season saved by mistral at the end; a small crop, with many producers eliminating cuvées. Quality very heterogenous, but some excellent wines were made  (See all ratings)",France,Rhône,Rhône/Southern
2007,95,Drink,"Ripe, rich, powerful reds thanks to long Indian summer at harvesttime. Grenache is heady and rich; Mourvèdre and Cinsault are key for balance. Best are hedonistic delights; though some are over-the-top  (See all ratings)",France,Rhône,Rhône/Southern
2006,93,Drink or hold,"Ripe, pure and balanced reds, with fresh flavors and bright finishes.; in the mold of '04 and '99 but slightly more concentrated. Whites superb  (See all ratings)",France,Rhône,Rhône/Southern
2005,97,Drink or hold,"Third straight year of drought, with well-timed rain and mistral. Wines show concentration, purity and structure. Great cellaring potential. Rivals '98 and '90  (See all ratings)",France,Rhône,Rhône/Southern
2004,93,Drink,"Another dry year, but not as hot as 2003. Small crop of balanced and very pure wines; far more consistent than 2003  (See all ratings)",France,Rhône,Rhône/Southern
2003,93,Drink,"Hot, dry year made powerful, ripe reds. Rugged tannins need time, but best are superb; some inconsistency  (See all ratings)",France,Rhône,Rhône/Southern
2002,76,Past peak,"Tart, dilute wines due to torrential rain at harvest. Many producers declassified their crop  (See all ratings)",France,Rhône,Rhône/Southern
2001,94,Drink,"Great vintage of racy, structured reds in Châteauneuf-du-Pape that have continued to put on weight as they evolve. Best are just starting to open up now  (See all ratings)",France,Rhône,Rhône/Southern
2000,93,Drink,"Powerful and rich; plump and ripe reds with silky tannins. Big crop, so not the structure of classic years  (See all ratings)",France,Rhône,Rhône/Southern
1999,90,Drink,Syrah- and Mourvèdre-based wines offer lovely balance and length; Grenache-based wines less successful  (See all ratings),France,Rhône,Rhône/Southern
1998,97,Drink,Dense and rich; superb Grenache harvest led to blockbuster reds with ripe tannins  (See all ratings),France,Rhône,Rhône/Southern
1997,81,Past peak,"Soft, easy early-drinking wines  (See all ratings)",France,Rhône,Rhône/Southern
1996,80,Past peak,"Light, fruity, pleasant, early-drinking reds; some excellent whites  (See all ratings)",France,Rhône,Rhône/Southern
1995,90,Drink,"Many tough, tannic reds, but Châteauneufs are improving beautifully; rich whites  (See all ratings)",France,Rhône,Rhône/Southern
2021,90,Drink or hold,"A cool and extremely difficult season marking a clear departure from the previous four warm vintages, with the coldest winter and spring in 40 years followed by a wet summer plagued by mildew and rot. After devastating summer flooding, the warm, dry fall brought relief, leading to many excellent, energetic wines, despite variable quality overall. The best versions offer finesse and aromatic purity, if not body and density; an acid-driven vintage, with structure and precision that bodes well for aging  Wittmann Riesling Rheinhessen Brunnenhäuschen GG  Top-scoring wines (click for full tasting note):


Nik Weis St.-Urbans-Hof Riesling Auslese Mosel Goldtröpfchen


Robert Weil Riesling Auslese Rheingau Kiedrich Gräfenberg


Wittmann Riesling Rheinhessen Brunnenhäuschen GG",France,Rhône,Rhône/Southern
2020,94,Drink or hold,"A warm winter and spring gave way to a very sunny summer, with many regions suffering from drought. Old vines fared better in these conditions, yet in general grapes achieved ideal ripeness, thanks to cool nights that preserved acidity and minerality, yielding many excellent dry wines, as well as kabinette and spätlesen, though few sweet wines could be made. Slightly more elegant than prior vintages, with moderate alcohol levels and great aging potential; also a very strong years for reds  Fritz Haag Riesling Auslese Mosel Juffer  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Beerenauslese Rheingau Kiedrich Gräfenberg


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Fritz Haag Riesling Auslese Mosel Juffer",France,Rhône,Rhône/Southern
2018,93,Drink or hold,"Favorable weather throughout the growing season delivered the largest harvest since 1999. Wines are richer and riper overall, with charming off-dry styles, approachable GGs and excellent dessert wines. Offers more drinkability than aging potential  Maximin Grünhaus Riesling Auslese Mosel Abtsberg Nr. 89  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Fritz Haag Riesling Trockenbeerenauslese Gold Cap Mosel Brauneberger Juffer


Maximin Grünhaus Riesling Auslese Mosel Abtsberg Nr. 89",France,Rhône,Rhône/Southern
2017,94,Drink or hold,"An early start to the season was followed by heavy frost, with summer warm and dry until August, when rain brought challenges. Yields are down, but top producers delivered balanced, ageworthy wines  Egon Müller Riesling Auslese Mosel Scharzhofberger  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Selbach-Oster Riesling Beerenauslese* Mosel Zeltinger Sonnenuhr


Egon Müller Riesling Auslese Mosel Scharzhofberger",France,Rhône,Rhône/Southern
2016,93,Drink or hold,"A hot, dry summer and good weather at harvest compensated for a damp spring, yielding aromatic, elegant and food-friendly wines; the best are supple and vibrant  Ökonomierat Rebholz Riesling Qualitätswein Dry Pfalz Im Sonnenschein GG  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Eiswein Rheingau Kiedrich Gräfenberg


Joh. Jos. Prüm Riesling Auslese Gold Cap Mosel Wehlener Sonnenuhr


Ökonomierat Rebholz Riesling Qualitätswein Dry Pfalz Im Sonnenschein GG",France,Rhône,Rhône/Southern
2015,96,Drink or hold,"Nearly perfect spring and summer weather, followed by a cooler autumn, resulted in ripe grapes that retained high acidity. Offers a full range from bone-dry to dessert style  C. von Schubert Riesling Beerenauslese Mosel Maximin Grünhäuser Abtsberg  Top-scoring wines (click for full tasting note):


Robert Weil Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg


Schloss Lieser Riesling Trockenbeerenauslese Mosel Niederberg Helden


C. von Schubert Riesling Beerenauslese Mosel Maximin Grünhäuser Abtsberg",France,Rhône,Rhône/Southern
2014,91,Drink or hold,"Mostly cool and wet growing conditions led to a warm September and a short harvest, producing an average-size crop of racy and herbal-inflected whites  Joh. Jos. Prüm Riesling Auslese Gold Cap Mosel Graacher Himmelreich  Top-scoring wines (click for full tasting note):


Egon Müller Riesling Auslese Mosel Scharzhofberger


Gunderloch Riesling Auslese Rheinhessen Rothenberg


Joh. Jos. Prüm Riesling Auslese Gold Cap Mosel Graacher Himmelreich",France,Rhône,Rhône/Southern
2012,94,Drink or hold,"Vintners overcame a challenging vintage to deliver open-knit, fruity Rieslings supported by ripe acidity  (See all ratings)",France,Rhône,Rhône/Southern
2011,95,Drink or hold,"Ideal harvest conditions delivered fruit-forward, open-knit and balanced wines with opulent flavors and textures  (See all ratings)",France,Rhône,Rhône/Southern
2010,93,Drink or hold,Cool growing season led to wines full of acidity and dense flavors. Exceptionally low yields. Look to top producers  (See all ratings),France,Rhône,Rhône/Southern
2009,97,Drink or hold,"Warm, dry weather at harvest; exceptionally balanced wines, with plenty of pure fruit, minerality and creaminess. Powerful GGs that are drinking beautifully now  (See all ratings)",France,Rhône,Rhône/Southern
2008,92,Drink or hold,"Crisp, vibrant and light-weight Rieslings marked by juicy acidity and pure orchard, citrus and savory flavors; the wines today show more complexity than promised  (See all ratings)",France,Rhône,Rhône/Southern
2006,92,Drink or hold,"Opulent, charming but fleshy kabinett and spätlese; terrific auslese, BA and TBA, with clean botrytis; best in Mosel; fine dry wines  (See all ratings)",France,Rhône,Rhône/Southern
2005,98,Drink or hold,"Lush, ripe Rieslings at all quality levels; acidity, though low in some, balances richness in most  (See all ratings)",France,Rhône,Rhône/Southern
2004,91,Drink or hold,"Vibrant, sleek wines from kabinett to auslese, but little botrytis and few late-harvest wines; fine Mosel and Nahe examples  (See all ratings)",France,Rhône,Rhône/Southern
2003,94,Drink or hold,"Ripe, opulent wines; best in Mosel, Nahe and Rheingau. Terrific BA and TBA, though not much botrytis  (See all ratings)",France,Rhône,Rhône/Southern
2002,93,Drink or hold,"The best are charming, juicy wines, from kabinett to auslese.  Pfalz and Rheingau excelled  (See all ratings)",France,Rhône,Rhône/Southern
2001,98,Drink or hold,"Best vintage since 1971. Ripe, healthy grapes made pure, harmonious wines at all quality levels; best in middle Mosel  (See all ratings)",France,Rhône,Rhône/Southern
2000,82,Drink,"Plagued by rain and rot, with outstanding results from a handful of growers. Variable quality; choose carefully  (See all ratings)",France,Rhône,Rhône/Southern
1998,89,Drink or hold,"Ripe, sleek, crisp; fine dry wines, especially in the Pfalz, and exciting ice wines  (See all ratings)",France,Rhône,Rhône/Southern
1997,88,Drink or hold,"Pure, clear wines with lower acidity and little botrytis; best in Mosel-Saar-Ruwer  (See all ratings)",France,Rhône,Rhône/Southern
1996,89,Drink or hold,"Extremely late harvest; stunning in Rheingau. Perfumed, ripe, high in acidity; ageworthy, though stick to top producers  (See all ratings)",France,Rhône,Rhône/Southern
1995,88,Drink,"Top estates made the best wines; aromatic and fruity, with harmonious acidity  (See all ratings)",France,Rhône,Rhône/Southern
1990,97,Drink or hold,"Powerful, great acidity and extract, harmonious  (See all ratings)",France,Rhône,Rhône/Southern
1988,93,Drink,"Balanced, firm; best in middle Mosel  (See all ratings)",France,Rhône,Rhône/Southern
1985,87,Past peak,"Racy, well-structured; some problems in Rheingau, Pfalz  (See all ratings)",France,Rhône,Rhône/Southern
1983,93,Past peak,"Very fruity, ripe, round; little botrytis  (See all ratings)",France,Rhône,Rhône/Southern
1976,96,Drink,"Ripe, powerful; plenty of botrytis  (See all ratings)",France,Rhône,Rhône/Southern
2021,88,Drink or hold,"Not as disastrous as the north, yet growers in the south suffered from frosts that reduced yields. Grenache was particularly fragile, and mildew pressure further reduced volumes. Quality is mixed, with many wines lacking concentration and others finding success in a fresher, lower-alcohol style; whites are energetic, vibrant and balanced  Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina  Top-scoring wines (click for full tasting note):


Château de St.-Cosme Gigondas Hominis Fides


Clos des Papes Châteauneuf-du-Pape


Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina",Germany,Riesling,Riesling
2020,93,Drink or hold,"A mild winter followed by a hot, dry summer with slightly cooler nights led to wines with good freshness and balance. Ideal harvest conditions resulted in a stress-free vintage with solid yields. With generous, supple fruit profiles and accessible tannins, the wines stand out for their immediate drinkability, though quality is more heterogeneous  Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape Hommage Jacques Perrin


Clos des Papes Châteauneuf-du-Pape


Clos St.-Jean Châteauneuf-du-Pape Deus Ex Machina",Germany,Riesling,Riesling
2019,94,Drink or hold,"A wet winter set the table for the region’s vineyards to get through the hot, dry growing season, with Grenache and Mourvèdre excelling as harvest lingered into early October. Reds are rich, ripe and expressive, with refined textures. A gorgeous vintage that just lacks the spine to be among the truly elite years  Château de St.-Cosme Gigondas Le Claux  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape Hommage Jacques Perrin


Château de St.-Cosme Gigondas Le Poste


Château de St.-Cosme Gigondas Le Claux",Germany,Riesling,Riesling
2018,92,Drink or hold,"Growing season marred by spring rains that led to severe mildew pressure, which severely hampered Grenache yields. Summer was hot and dry, with nights not as cool as usual, but there were no heat spikes. Reds are supple and velvety, low in acid, offering flattering, forward fruit  Clos des Papes Châteauneuf-du-Pape  Top-scoring wines (click for full tasting note):


Domaine St.-Préfert Châteauneuf-du-Pape Collection Charles Giraud


Château de St.-Cosme Gigondas Le Poste


Clos des Papes Châteauneuf-du-Pape",Germany,Riesling,Riesling
2017,92,Drink or hold,"A difficult flowering resulted in drastically reduced yields on Grenache. Crop ripened quickly in hot, dry conditions, leading to inconsistent quality. Best spots were cooler and later-ripening, with Syrah and Mourvèdre playing key roles  Rotem & Mounir Saouma Châteauneuf-du-Pape White Magis  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape Hommage à Jacques Perrin


Domaine St.-Préfert Châteauneuf-du-Pape White Cuvée Spéciale Vieilles Clairettes


Rotem & Mounir Saouma Châteauneuf-du-Pape White Magis",Germany,Riesling,Riesling
2016,99,Hold,"This truly rare vintage is a new benchmark. The growing season was warm during the day but cool at night, with an unusually large diurnal swing that led to slow, even ripening across all varieties while maintaining acidity. Reds are laden with fruit, yet extremely racy and fresh in feel; whites are pure, brimming with energy  Domaine Giraud Châteauneuf-du-Pape Grenaches de Pierre  Top-scoring wines (click for full tasting note):


Domaine St.-Préfert Châteauneuf-du-Pape Collection Charles Giraud


Château de St.-Cosme Gigondas Le Poste


Domaine Giraud Châteauneuf-du-Pape Grenaches de Pierre",Germany,Riesling,Riesling
2015,97,Hold,"Ideal spring conditions were followed by warm, dry weather through July and then heavy rains in August. Earlier-ripening Viognier and Syrah struggled a bit, while later-ripening Grenache and Mourvèdre excelled; reds are rich, ripe and full of powerful fruit. In the style of 2009 and 2007, with better definition  Château de St.-Cosme Gigondas Le Poste  Top-scoring wines (click for full tasting note):


Domaine St.-Préfert Châteauneuf-du-Pape Collection Charles Giraud


Château de Beaucastel Châteauneuf-du-Pape Hommage à Jacques Perrin


Château de St.-Cosme Gigondas Le Poste",Germany,Riesling,Riesling
2014,88,Drink,"Season similar to the north's, with a good start but then persistent rains followed by more humid weather through September. Earlier-ripening areas favored as disease pressures built steadily; sorting tables critical to cull berries, with yields markedly lower as a result. Trickiest vintage since 2008  Domaine de Beaurenard Châteauneuf-du-Pape White Boisrenard  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape White Vieilles Vignes


Clos des Papes Châteauneuf-du-Pape White


Domaine de Beaurenard Châteauneuf-du-Pape White Boisrenard",Germany,Riesling,Riesling
2013,89,Drink,"Cool but dry growing season, with Grenache yields drastically reduced once again and Grenache-reliant wines lacking some depth and ripeness; wines buttressed with Syrah and Mourvèdre are fresh, pure and floral-edged  Château de St.-Cosme Gigondas Le Poste  Top-scoring wines (click for full tasting note):


Château de Beaucastel Châteauneuf-du-Pape White Vieilles Vignes


Château de St.-Cosme Gigondas Hominis Fides


Château de St.-Cosme Gigondas Le Poste",Germany,Riesling,Riesling
2012,93,Drink or hold,"Small crop following severe coulure on Grenache, but the wines are fine-grained and lengthy, with deliciously ripe flavors; well-balanced and should cellar well  (See all ratings)",Germany,Riesling,Riesling
2011,91,Drink or hold,"Warm spring, but cool, wet weather in July and August led to uneven ripening; Indian summer saved the vintage. Grenache is light, but Syrah and Mourvèdre strong, so blending key; there will be some excellent wines, but heterogenous from domaine to domaine  (See all ratings)",Germany,Riesling,Riesling
2010,98,Hold,"Cool, windy spring led to a drastically reduced crop; growing season marked by warm days and cool nights, with a late harvest resulting in beautifully ripe, racy, [i]terroir[n]-driven wines for aging. The spine of ’05 with extra flesh  (See all ratings)",Germany,Riesling,Riesling
2009,94,Drink,"Warm, dry growing season, with heat wave arriving after veraison so ripening was fast but even; grapes retained acidity thanks to cool nights. Reds have pure fruit and polished tannins  (See all ratings)",Germany,Riesling,Riesling
2008,88,Drink,"Cool, wet spring and humid growing season saved by mistral at the end; a small crop, with many producers eliminating cuvées. Quality very heterogenous, but some excellent wines were made  (See all ratings)",Germany,Riesling,Riesling
2007,95,Drink,"Ripe, rich, powerful reds thanks to long Indian summer at harvesttime. Grenache is heady and rich; Mourvèdre and Cinsault are key for balance. Best are hedonistic delights; though some are over-the-top  (See all ratings)",Germany,Riesling,Riesling
2006,93,Drink or hold,"Ripe, pure and balanced reds, with fresh flavors and bright finishes.; in the mold of '04 and '99 but slightly more concentrated. Whites superb  (See all ratings)",Germany,Riesling,Riesling
2005,97,Drink or hold,"Third straight year of drought, with well-timed rain and mistral. Wines show concentration, purity and structure. Great cellaring potential. Rivals '98 and '90  (See all ratings)",Germany,Riesling,Riesling
2004,93,Drink,"Another dry year, but not as hot as 2003. Small crop of balanced and very pure wines; far more consistent than 2003  (See all ratings)",Germany,Riesling,Riesling
2003,93,Drink,"Hot, dry year made powerful, ripe reds. Rugged tannins need time, but best are superb; some inconsistency  (See all ratings)",Germany,Riesling,Riesling
2002,76,Past peak,"Tart, dilute wines due to torrential rain at harvest. Many producers declassified their crop  (See all ratings)",Germany,Riesling,Riesling
2001,94,Drink,"Great vintage of racy, structured reds in Châteauneuf-du-Pape that have continued to put on weight as they evolve. Best are just starting to open up now  (See all ratings)",Germany,Riesling,Riesling
2000,93,Drink,"Powerful and rich; plump and ripe reds with silky tannins. Big crop, so not the structure of classic years  (See all ratings)",Germany,Riesling,Riesling
1999,90,Drink,Syrah- and Mourvèdre-based wines offer lovely balance and length; Grenache-based wines less successful  (See all ratings),Germany,Riesling,Riesling
1998,97,Drink,Dense and rich; superb Grenache harvest led to blockbuster reds with ripe tannins  (See all ratings),Germany,Riesling,Riesling
1997,81,Past peak,"Soft, easy early-drinking wines  (See all ratings)",Germany,Riesling,Riesling
1996,80,Past peak,"Light, fruity, pleasant, early-drinking reds; some excellent whites  (See all ratings)",Germany,Riesling,Riesling
1995,90,Drink,"Many tough, tannic reds, but Châteauneufs are improving beautifully; rich whites  (See all ratings)",Germany,Riesling,Riesling
