Vintage,Score,Drink Window,Description,Country,Region,Variety
1994,97,Drink,"A showy year all around; ripe, complex and fleshy, with excellent depth  (See all ratings)",United States,Napa,Cabernet
1993,88,Drink,"Just off the pace, with well-balanced, supple wines; a few stars  (See all ratings)",United States,Napa,Cabernet
1992,93,Drink,"Fine growing season led to uniformly rich, fleshy, supple and balanced wines  (See all ratings)",United States,Napa,Cabernet
1991,91,Drink,"Big crop, ripe and complex; a star early on, only to be eclipsed by others this decade  (See all ratings)",United States,Napa,Cabernet
2021,94,Drink,Another drought year with low yields; the best wines are fresh and intense,United States,Carneros,California/Chardonnay
2020,93,Drink,"A dry year yielded concentrated, balanced wines; most Chardonnay picked before the wildfires",United States,Carneros,California/Chardonnay
2019,95,Drink,Warmer weather than in 2018 produced wines with a deep well of fruit and spice flavors,United States,Carneros,California/Chardonnay
2018,92,Drink,Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity,United States,Carneros,California/Chardonnay
2017,94,Drink,Ample winter rain followed by a warm growing season yielded complex and powerful wines,United States,Carneros,California/Chardonnay
2016,90,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,United States,Carneros,California/Chardonnay
2015,90,Drink,Sonoma strong again in another drought year; elegant and refined in style,United States,Carneros,California/Chardonnay
2014,92,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",United States,Carneros,California/Chardonnay
2013,93,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",United States,Carneros,California/Chardonnay
2012,90,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",United States,Carneros,California/Chardonnay
2011,86,Drink,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",United States,Carneros,California/Chardonnay
2010,88,Drink,Cool year resulted in uneven quality; best wines are tight and concentrated,United States,Carneros,California/Chardonnay
2009,90,Drink,"Cooler year showing toned-down ripeness, with more finesse and delicacy",United States,Carneros,California/Chardonnay
2008,87,Drink,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",United States,Carneros,California/Chardonnay
2007,96,Drink,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",United States,Carneros,California/Chardonnay
2006,90,Drink,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",United States,Carneros,California/Chardonnay
2005,83,Drink,"Restrained wines; trim and tight, with higher acidity",United States,Carneros,California/Chardonnay
2004,92,Drink,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",United States,Carneros,California/Chardonnay
2003,90,Drink,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",United States,Carneros,California/Chardonnay
2002,96,Drink,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",United States,Carneros,California/Chardonnay
2001,93,Drink,"Best in Carneros and Sonoma; concentrated, with firm acidity",United States,Carneros,California/Chardonnay
2000,96,Drink,Carneros the clear star; wines elsewhere lack depth and completeness,United States,Carneros,California/Chardonnay
1999,89,Drink,"Sonoma and Santa Barbara are tops, with rich, complex wines",United States,Carneros,California/Chardonnay
1998,84,Drink,Lean and austere statewide; highly variable,United States,Carneros,California/Chardonnay
